名稱,縣市,緯度,經度,is_indoor,設施類型,最近測站,測站AQI,距離(km),風險等級
舊社公園活動中心（1、2樓、室外）,臺中市北屯區,24.1815,120.7007,False,室外,臺灣大道,38,5.12,Normal
西安、西墩、至善里聯合活動中心,臺中市西屯區,24.181647,120.639943,True,室內,臺灣大道,38,3.05,Normal
北屯區公所六樓禮堂,臺中市北屯區,24.1827,120.6867,True,室內,臺灣大道,38,4.03,Normal
臺中市東勢區慶福社區活動中心,臺中市東勢區,24.182864,120.840965,True,室內,豐原,22,12.95,Normal
龍井國小操場、龍騰館,臺中市龍井區,24.183711,120.529836,False,室外,沙鹿,35,6.11,Normal
永安國小（永安館、操場）,臺中市西屯區,24.184845,120.625082,False,室外,西屯,27,2.65,Normal
陳平國民小學（地下活動中心）,臺中市北屯區,24.185321,120.667549,True,室內,臺灣大道,38,3.14,Normal
東海國小（操場、籃球場）,臺中市西屯區,24.18602,120.5896,False,室外,西屯,27,3.83,Normal
后庄社區活動中心,臺中市北屯區,24.18809,120.66498,True,室內,臺灣大道,38,3.35,Normal
麗陽營區,臺中市和平區,24.1883,120.9866,False,室外,埔里,32,24.48,Normal
福科國中（操場、籃球場）,臺中市西屯區,24.1892,120.6138,False,室外,西屯,27,3.02,Normal
龍崗社區活動中心,臺中市龍井區,24.189607,120.548065,True,室內,沙鹿,35,4.52,Normal
松竹國民小學（勁竹及松青樓地下室）,臺中市北屯區,24.190797,120.686684,True,室內,臺灣大道,38,4.67,Normal
仁美國民小學（地下室、活動中心、操場）,臺中市北屯區,24.190797,120.686684,False,室外,臺灣大道,38,4.67,Normal
臺中市東勢區慶福里社區活動中心戶外停車場,臺中市東勢區,24.191,120.8438,False,室外,豐原,22,12.62,Normal
龍井國中操場,臺中市龍井區,24.192285,120.544059,False,室外,沙鹿,35,4.48,Normal
龍井區公所禮堂,臺中市龍井區,24.19268,120.545584,True,室內,沙鹿,35,4.35,Normal
協成國小（教學及行政大樓）,臺中市新社區,24.192772,120.813491,True,室內,豐原,22,10.14,Normal
四張犁國民中學（活動中心、操場）,臺中市北屯區,24.193528,120.677436,False,室外,臺灣大道,38,4.39,Normal
國安國小（新大樓活動中心、操場）,臺中市西屯區,24.193578,120.609081,False,室外,西屯,27,3.58,Normal
新興國民小學（禮堂、操場）,臺中市北屯區,24.195039,120.662753,False,室外,臺灣大道,38,4.06,Normal
